T20,Agricultural production indices,,,,,
1,"Total, all countries or areas",2022,Food production (Index Base: 2014-2016 = 100),111.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),37.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),49.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),72.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),86.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),100.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),115.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),117.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),118.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,1985,Food production (Index Base: 2014-2016 = 100),36.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,1995,Food production (Index Base: 2014-2016 = 100),48.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2005,Food production (Index Base: 2014-2016 = 100),72.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2010,Food production (Index Base: 2014-2016 = 100),86.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2015,Food production (Index Base: 2014-2016 = 100),100.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2020,Food production (Index Base: 2014-2016 = 100),115.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2021,Food production (Index Base: 2014-2016 = 100),117.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
2,Africa,2022,Food production (Index Base: 2014-2016 = 100),118.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),38.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),52.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),79.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),89.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),101.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),108.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),109.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),110.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,1985,Food production (Index Base: 2014-2016 = 100),36.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,1995,Food production (Index Base: 2014-2016 = 100),50.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2005,Food production (Index Base: 2014-2016 = 100),79.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2010,Food production (Index Base: 2014-2016 = 100),89.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2015,Food production (Index Base: 2014-2016 = 100),101.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2020,Food production (Index Base: 2014-2016 = 100),108.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2021,Food production (Index Base: 2014-2016 = 100),109.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
15,Northern Africa,2022,Food production (Index Base: 2014-2016 = 100),110.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),40.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),46.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),69.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),85.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),101.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),120.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),121.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),119.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,1985,Food production (Index Base: 2014-2016 = 100),40.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,1995,Food production (Index Base: 2014-2016 = 100),46.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2005,Food production (Index Base: 2014-2016 = 100),69.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2010,Food production (Index Base: 2014-2016 = 100),85.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2015,Food production (Index Base: 2014-2016 = 100),101.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2020,Food production (Index Base: 2014-2016 = 100),120.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2021,Food production (Index Base: 2014-2016 = 100),122.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
14,Eastern Africa,2022,Food production (Index Base: 2014-2016 = 100),119.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),34.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),36.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),56.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),84.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),99.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),113.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),116.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),120.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,1985,Food production (Index Base: 2014-2016 = 100),34.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,1995,Food production (Index Base: 2014-2016 = 100),35.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2005,Food production (Index Base: 2014-2016 = 100),55.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2010,Food production (Index Base: 2014-2016 = 100),84.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2015,Food production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2020,Food production (Index Base: 2014-2016 = 100),113.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2021,Food production (Index Base: 2014-2016 = 100),116.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
17,Middle Africa,2022,Food production (Index Base: 2014-2016 = 100),121.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),59.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),58.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),80.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),91.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),101.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),110.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),113.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),112.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,1985,Food production (Index Base: 2014-2016 = 100),57.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,1995,Food production (Index Base: 2014-2016 = 100),57.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2005,Food production (Index Base: 2014-2016 = 100),80.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2010,Food production (Index Base: 2014-2016 = 100),91.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2015,Food production (Index Base: 2014-2016 = 100),101.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2020,Food production (Index Base: 2014-2016 = 100),110.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2021,Food production (Index Base: 2014-2016 = 100),113.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
18,Southern Africa,2022,Food production (Index Base: 2014-2016 = 100),112.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,1985,Agricultural production (Index Base: 2014-2016 = 100),30.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,1995,Agricultural production (Index Base: 2014-2016 = 100),50.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2005,Agricultural production (Index Base: 2014-2016 = 100),73.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2010,Agricultural production (Index Base: 2014-2016 = 100),84.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2015,Agricultural production (Index Base: 2014-2016 = 100),99.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2020,Agricultural production (Index Base: 2014-2016 = 100),118.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2021,Agricultural production (Index Base: 2014-2016 = 100),122.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2022,Agricultural production (Index Base: 2014-2016 = 100),125.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,1985,Food production (Index Base: 2014-2016 = 100),29.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,1995,Food production (Index Base: 2014-2016 = 100),50.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2005,Food production (Index Base: 2014-2016 = 100),72.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2010,Food production (Index Base: 2014-2016 = 100),84.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2015,Food production (Index Base: 2014-2016 = 100),99.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2020,Food production (Index Base: 2014-2016 = 100),118.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2021,Food production (Index Base: 2014-2016 = 100),121.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
11,Western Africa,2022,Food production (Index Base: 2014-2016 = 100),125.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,1985,Agricultural production (Index Base: 2014-2016 = 100),54.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,1995,Agricultural production (Index Base: 2014-2016 = 100),63.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2005,Agricultural production (Index Base: 2014-2016 = 100),81.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2010,Agricultural production (Index Base: 2014-2016 = 100),90.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2015,Agricultural production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2020,Agricultural production (Index Base: 2014-2016 = 100),107.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2021,Agricultural production (Index Base: 2014-2016 = 100),107.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2022,Agricultural production (Index Base: 2014-2016 = 100),107.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,1985,Food production (Index Base: 2014-2016 = 100),54.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,1995,Food production (Index Base: 2014-2016 = 100),62.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2005,Food production (Index Base: 2014-2016 = 100),80.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2010,Food production (Index Base: 2014-2016 = 100),90.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2015,Food production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2020,Food production (Index Base: 2014-2016 = 100),107.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2021,Food production (Index Base: 2014-2016 = 100),107.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
19,Americas,2022,Food production (Index Base: 2014-2016 = 100),107.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,1985,Agricultural production (Index Base: 2014-2016 = 100),68.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,1995,Agricultural production (Index Base: 2014-2016 = 100),72.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2005,Agricultural production (Index Base: 2014-2016 = 100),86.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2010,Agricultural production (Index Base: 2014-2016 = 100),91.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2015,Agricultural production (Index Base: 2014-2016 = 100),97.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2020,Agricultural production (Index Base: 2014-2016 = 100),104.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2021,Agricultural production (Index Base: 2014-2016 = 100),103.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2022,Agricultural production (Index Base: 2014-2016 = 100),101.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,1985,Food production (Index Base: 2014-2016 = 100),67.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,1995,Food production (Index Base: 2014-2016 = 100),71.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2005,Food production (Index Base: 2014-2016 = 100),85.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2010,Food production (Index Base: 2014-2016 = 100),91.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2015,Food production (Index Base: 2014-2016 = 100),97.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2020,Food production (Index Base: 2014-2016 = 100),104.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2021,Food production (Index Base: 2014-2016 = 100),103.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
21,Northern America,2022,Food production (Index Base: 2014-2016 = 100),102.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,1985,Agricultural production (Index Base: 2014-2016 = 100),90.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,1995,Agricultural production (Index Base: 2014-2016 = 100),71.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2005,Agricultural production (Index Base: 2014-2016 = 100),85.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2010,Agricultural production (Index Base: 2014-2016 = 100),86.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2015,Agricultural production (Index Base: 2014-2016 = 100),99.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2020,Agricultural production (Index Base: 2014-2016 = 100),91.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2021,Agricultural production (Index Base: 2014-2016 = 100),91.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2022,Agricultural production (Index Base: 2014-2016 = 100),96.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,1985,Food production (Index Base: 2014-2016 = 100),89.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,1995,Food production (Index Base: 2014-2016 = 100),71.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2005,Food production (Index Base: 2014-2016 = 100),85.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2010,Food production (Index Base: 2014-2016 = 100),85.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2015,Food production (Index Base: 2014-2016 = 100),99.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2020,Food production (Index Base: 2014-2016 = 100),91.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2021,Food production (Index Base: 2014-2016 = 100),90.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
29,Caribbean,2022,Food production (Index Base: 2014-2016 = 100),96.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,1985,Agricultural production (Index Base: 2014-2016 = 100),49.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,1995,Agricultural production (Index Base: 2014-2016 = 100),60.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,2005,Agricultural production (Index Base: 2014-2016 = 100),78.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,2010,Agricultural production (Index Base: 2014-2016 = 100),87.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,2015,Agricultural production (Index Base: 2014-2016 = 100),98.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
13,Central America,2020,Agricultural production (Index Base: 2014-2016 = 100),110.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
