T10,Health personnel,,,,,
4,Afghanistan,2009,Health personnel: Pharmacists (number),847,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2009,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2009,Health personnel: Nurses and midwives (number),"17,257",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2010,Health personnel: Physicians (number),"6,901",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2010,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2010,Health personnel: Pharmacists (number),814,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2010,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Physicians (number),"9,808",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Dentists (number),123,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Pharmacists (number),"1,712",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Nurses and midwives (number),"4,471",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2015,Health personnel: Nurses and midwives personnel (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Physicians (number),"11,144",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Dentists (number),880,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Pharmacists (number),"1,073",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Nurses and midwives (number),"16,581",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2019,Health personnel: Physicians (number),"8,082",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2019,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2019,Health personnel: Dentists (number),"2,697",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2019,Health personnel: Dentists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2020,Health personnel: Physicians (number),"9,880",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
4,Afghanistan,2020,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Physicians (number),"3,699",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Dentists (number),"1,350",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Pharmacists (number),"1,100",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Pharmacists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Nurses and midwives (number),"11,238",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2003,Health personnel: Nurses and midwives personnel (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2004,Health personnel: Physicians (number),"3,699",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2004,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2004,Health personnel: Nurses and midwives (number),"11,136",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2004,Health personnel: Nurses and midwives personnel (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2005,Health personnel: Nurses and midwives (number),"11,136",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2005,Health personnel: Nurses and midwives personnel (per 1000 population),3.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Physicians (number),"3,626",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Dentists (number),"1,035",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Pharmacists (number),"1,173",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Pharmacists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Nurses and midwives (number),"12,746",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2006,Health personnel: Nurses and midwives personnel (per 1000 population),4.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Physicians (number),"3,640",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Pharmacists (number),"1,324",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Pharmacists (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Nurses and midwives (number),"11,846",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2010,Health personnel: Nurses and midwives personnel (per 1000 population),4.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Physicians (number),"3,709",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Physicians (per 1000 population),1.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Pharmacists (number),"2,441",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Pharmacists (per 1000 population),0.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Nurses and midwives (number),"12,455",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2013,Health personnel: Nurses and midwives personnel (per 1000 population),4.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2018,Health personnel: Dentists (number),"2,973",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2018,Health personnel: Dentists (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2018,Health personnel: Pharmacists (number),"3,125",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2018,Health personnel: Pharmacists (per 1000 population),1.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2020,Health personnel: Physicians (number),"5,397",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2020,Health personnel: Physicians (per 1000 population),1.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2020,Health personnel: Nurses and midwives (number),"16,717",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
8,Albania,2020,Health personnel: Nurses and midwives personnel (per 1000 population),5.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Physicians (number),"35,368",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Physicians (per 1000 population),1.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Dentists (number),"8,861",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Pharmacists (number),"5,413",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Nurses and midwives (number),"69,749",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2002,Health personnel: Nurses and midwives personnel (per 1000 population),2.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Physicians (number),"33,952",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Physicians (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Dentists (number),"9,022",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Pharmacists (number),"6,104",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2005,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Physicians (number),"40,857",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Dentists (number),"10,621",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Pharmacists (number),"7,417",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Nurses and midwives (number),"65,919",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2007,Health personnel: Nurses and midwives personnel (per 1000 population),1.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Physicians (number),"72,604",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Physicians (per 1000 population),1.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Dentists (number),"15,437",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Pharmacists (number),"18,807",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Pharmacists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Nurses and midwives (number),"65,359",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2018,Health personnel: Nurses and midwives personnel (per 1000 population),1.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Physicians (number),"42,140",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Physicians (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Dentists (number),"7,018",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Dentists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Pharmacists (number),"2,156",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
12,Algeria,2019,Health personnel: Nurses and midwives personnel (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Physicians (number),255,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Physicians (per 1000 population),3.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Dentists (number),46,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Dentists (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Pharmacists (number),72,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Pharmacists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Nurses and midwives (number),266,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2005,Health personnel: Nurses and midwives personnel (per 1000 population),3.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Physicians (number),266,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Physicians (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Dentists (number),51,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Dentists (per 1000 population),0.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Pharmacists (number),78,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Pharmacists (per 1000 population),1.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Nurses and midwives (number),311,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2009,Health personnel: Nurses and midwives personnel (per 1000 population),4.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Physicians (number),260,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Physicians (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Dentists (number),64,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Dentists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Pharmacists (number),79,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Pharmacists (per 1000 population),1.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Nurses and midwives (number),313,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
20,Andorra,2015,Health personnel: Nurses and midwives personnel (per 1000 population),4.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Physicians (number),"1,165",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Physicians (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Dentists (number),222,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Pharmacists (number),919,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Nurses and midwives (number),"18,485",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2004,Health personnel: Nurses and midwives personnel (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2009,Health personnel: Physicians (number),"2,956",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2009,Health personnel: Physicians (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2009,Health personnel: Nurses and midwives (number),"29,592",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2009,Health personnel: Nurses and midwives personnel (per 1000 population),1.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Physicians (number),"6,593",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Dentists (number),"1,652",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Dentists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Pharmacists (number),"2,302",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Nurses and midwives (number),"12,554",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Physicians (number),"8,693",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Dentists (number),171,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Pharmacists (number),967,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
24,Angola,2022,Health personnel: Nurses and midwives personnel (per 1000 population),1.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
28,Antigua and Barbuda,2007,Health personnel: Physicians (number),144,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
28,Antigua and Barbuda,2007,Health personnel: Physicians (per 1000 population),1.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
28,Antigua and Barbuda,2007,Health personnel: Pharmacists (number),15,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2024."
